API, Status
index_reduce,function
amin,function
select,function
outer,function
eye,function
logdet,function
bincount,function
quantized_max_pool1d,function
cross,function
atan,function
ne,function
lgamma,function
linalg.det,class
matrix_rank,function
concat,function
isfinite,function
full_like,function
remainder,function
sum,function
cholesky_inverse,function
quantize_per_channel,function
take,function
copysign,function
stft,function
randint_like,function
logical_and,function
addbmm,function
bitwise_and,function
set_grad_enabled,function
randn_like,function
is_floating_point,function
arccos,function
histc,function
positive,function
hsplit,function
var_mean,function
linalg.slogdet,class
ge,function
manual_seed,function
inverse,function
lt,function
moveaxis,function
real,function
sparse_coo_tensor,function
mean,function
cumsum,function
scatter_reduce,function
linalg.matrix_power,class
kthvalue,function
unique,function
nn.utils.rnn.PackedSequence,class
nn.utils.parametrize.ParametrizationList,class
nn.ReplicationPad3d,class
nn.utils.prune.remove,class
nn.Identity,class
nn.MultiLabelMarginLoss,class
nn.AvgPool1d,class
nn.modules.module.register_module_full_backward_hook,class
nn.LeakyReLU,class
nn.MultiLabelSoftMarginLoss,class
nn.AvgPool3d,class
nn.RNNCell,class
nn.Conv2d,class
nn.MaxPool3d,class
nn.Sequential,class
nn.InstanceNorm3d,class
nn.utils.prune.l1_unstructured,class
nn.LazyLinear,class
nn.AdaptiveAvgPool1d,class
nn.GRUCell,class
nn.FractionalMaxPool3d,class
nn.GroupNorm,class
nn.Unflatten,class
nn.utils.prune.RandomStructured,class
nn.utils.prune.L1Unstructured,class
nn.Mish,class
nn.TransformerEncoder,class
nn.AdaptiveMaxPool2d,class
nn.LogSoftmax,class
nn.PixelShuffle,class
nn.BCELoss,class
nn.DataParallel,class
nn.utils.prune.custom_from_mask,class
nn.AdaptiveMaxPool3d,class
nn.BCEWithLogitsLoss,class
nn.utils.parametrize.register_parametrization,class
nn.utils.prune.random_structured,class
nn.LazyConv1d,class
nn.L1Loss,class
nn.utils.stateless.functional_call,class
nn.parameter.UninitializedBuffer,class
nn.Hardswish,class
nn.RNN,class
nn.LazyConvTranspose2d,class
nn.TripletMarginLoss,class
nn.Conv3d,class
nn.Softplus,class
nn.modules.module.register_module_forward_pre_hook,class
nn.TransformerDecoderLayer,class
nn.utils.prune.is_pruned,class
nn.BatchNorm3d,class
nn.AlphaDropout,class
nn.LazyConvTranspose3d,class
nn.TransformerDecoder,class
nn.Hardtanh,class
nn.utils.prune.CustomFromMask,class
nn.CrossEntropyLoss,class
nn.ConvTranspose1d,class
nn.Softmax,class
nn.UpsamplingNearest2d,class
nn.utils.vector_to_parameters,class
nn.SyncBatchNorm,class
nn.ReflectionPad1d,class
nn.utils.parametrizations.orthogonal,class
nn.NLLLoss,class
nn.MarginRankingLoss,class
nn.GELU,class
nn.ConstantPad1d,class
nn.LazyInstanceNorm3d,class
nn.UpsamplingBilinear2d,class
nn.Linear,class
nn.KLDivLoss,class
nn.Unfold,class
nn.ParameterDict,class
nn.utils.clip_grad_norm_,class
nn.MultiheadAttention,class
nn.LSTM,class
nn.Hardsigmoid,class
nn.utils.prune.ln_structured,class
nn.LPPool1d,class
nn.Hardshrink,class
nn.Softshrink,class
nn.MultiMarginLoss,class
nn.TransformerEncoderLayer,class
nn.Dropout1d,class
nn.Conv1d,class
nn.MaxUnpool2d,class
nn.utils.prune.PruningContainer,class
nn.ReLU,class
nn.CTCLoss,class
nn.utils.weight_norm,class
nn.ReplicationPad2d,class
nn.HuberLoss,class
nn.BatchNorm1d,class
nn.CosineSimilarity,class
nn.ReLU6,class
nn.ModuleDict,class
nn.GLU,class
nn.TripletMarginWithDistanceLoss,class
nn.LazyBatchNorm1d,class
nn.ReflectionPad3d,class
nn.LPPool2d,class
nn.InstanceNorm1d,class
nn.Bilinear,class
nn.utils.prune.random_unstructured,class
nn.utils.spectral_norm,class
nn.Fold,class
nn.Upsample,class
nn.MaxUnpool3d,class
nn.ReplicationPad1d,class
nn.utils.parametrize.is_parametrized,class
nn.BatchNorm2d,class
nn.Dropout3d,class
nn.InstanceNorm2d,class
nn.AdaptiveLogSoftmaxWithLoss,class
nn.utils.prune.RandomUnstructured,class
nn.PReLU,class
nn.LazyConv3d,class
nn.ZeroPad2d,class
nn.utils.clip_grad_value_,class
nn.ReflectionPad2d,class
nn.utils.remove_spectral_norm,class
nn.Softmin,class
nn.HingeEmbeddingLoss,class
nn.utils.parameters_to_vector,class
nn.CosineEmbeddingLoss,class
nn.MaxPool2d,class
nn.AdaptiveAvgPool3d,class
nn.GaussianNLLLoss,class
nn.utils.prune.global_unstructured,class
nn.ConstantPad2d,class
nn.MSELoss,class
nn.utils.parametrizations.spectral_norm,class
nn.utils.skip_init,class
nn.Dropout2d,class
nn.ConvTranspose2d,class
nn.AdaptiveAvgPool2d,class
nn.MaxUnpool1d,class
nn.utils.remove_weight_norm,class
nn.Threshold,class
nn.RNNBase,class
nn.RReLU,class
nn.LazyInstanceNorm2d,class
nn.CELU,class
nn.parameter.UninitializedParameter,class
nn.LazyInstanceNorm1d,class
nn.PoissonNLLLoss,class
nn.LocalResponseNorm,class
nn.PairwiseDistance,class
nn.LazyBatchNorm2d,class
nn.utils.rnn.pad_packed_sequence,class
nn.parallel.DistributedDataParallel,class
nn.LazyConv2d,class
nn.utils.parametrize.remove_parametrizations,class
nn.utils.prune.LnStructured,class
nn.ConstantPad3d,class
nn.Transformer,class
nn.SoftMarginLoss,class
nn.SiLU,class
nn.Flatten,class
nn.ELU,class
nn.LSTMCell,class
nn.SmoothL1Loss,class
nn.Embedding,class
nn.MaxPool1d,class
nn.AvgPool2d,class
nn.FractionalMaxPool2d,class
nn.ChannelShuffle,class
nn.ModuleList,class
nn.utils.rnn.pack_padded_sequence,class
nn.utils.rnn.pad_sequence,class
nn.Dropout,class
nn.GRU,class
nn.LazyBatchNorm3d,class
nn.AdaptiveMaxPool1d,class
nn.LayerNorm,class
nn.modules.module.register_module_backward_hook,class
nn.modules.module.register_module_forward_hook,class
nn.PixelUnshuffle,class
nn.utils.rnn.pack_sequence,class
nn.LazyConvTranspose1d,class
nn.SELU,class
nn.ConvTranspose3d,class
nn.EmbeddingBag,class
nn.functional.hardsigmoid,class
nn.functional.fractional_max_pool2d,class
nn.functional.selu,class
nn.functional.adaptive_max_pool2d,class
nn.functional.bilinear,class
nn.functional.margin_ranking_loss,class
nn.functional.rrelu_,class
nn.functional.hinge_embedding_loss,class
nn.functional.max_unpool2d,class
nn.functional.prelu,class
nn.functional.pad,class
nn.functional.avg_pool2d,class
nn.functional.softmax,class
nn.functional.smooth_l1_loss,class
nn.functional.nll_loss,class
nn.functional.normalize,class
nn.functional.conv3d,class
nn.functional.dropout3d,class
nn.functional.sigmoid,class
nn.functional.leaky_relu,class
nn.functional.hardswish,class
nn.functional.fractional_max_pool3d,class
nn.functional.threshold_,class
nn.functional.adaptive_avg_pool3d,class
nn.functional.dropout1d,class
nn.functional.softmin,class
nn.functional.conv2d,class
nn.functional.leaky_relu_,class
nn.functional.hardtanh_,class
nn.functional.feature_alpha_dropout,class
nn.functional.cross_entropy,class
nn.functional.adaptive_max_pool1d,class
nn.functional.max_unpool3d,class
nn.functional.softplus,class
nn.functional.soft_margin_loss,class
nn.functional.grid_sample,class
nn.functional.tanhshrink,class
nn.functional.multi_margin_loss,class
nn.functional.adaptive_max_pool3d,class
nn.functional.pixel_shuffle,class
nn.functional.relu6,class
nn.functional.gumbel_softmax,class
nn.functional.upsample_bilinear,class
nn.functional.silu,class
nn.functional.alpha_dropout,class
nn.functional.elu_,class
nn.functional.fold,class
nn.functional.gelu,class
nn.functional.adaptive_avg_pool2d,class
nn.functional.linear,class
nn.functional.hardtanh,class
nn.functional.binary_cross_entropy_with_logits,class
nn.functional.mse_loss,class
nn.functional.group_norm,class
nn.functional.cosine_embedding_loss,class
nn.functional.max_unpool1d,class
nn.functional.batch_norm,class
nn.functional.adaptive_avg_pool1d,class
nn.functional.glu,class
nn.functional.upsample,class
nn.functional.dropout2d,class
nn.functional.gaussian_nll_loss,class
nn.functional.pixel_unshuffle,class
nn.functional.max_pool3d,class
nn.functional.hardshrink,class
nn.functional.conv_transpose2d,class
nn.functional.layer_norm,class
nn.functional.avg_pool1d,class
nn.functional.conv_transpose3d,class
nn.functional.celu,class
nn.functional.threshold,class
nn.functional.pdist,class
nn.functional.lp_pool2d,class
nn.functional.kl_div,class
nn.functional.softsign,class
nn.functional.embedding_bag,class
nn.functional.multilabel_margin_loss,class
nn.functional.triplet_margin_with_distance_loss,class
nn.functional.ctc_loss,class
nn.functional.local_response_norm,class
nn.functional.dropout,class
nn.functional.relu_,class
nn.functional.tanh,class
nn.functional.conv_transpose1d,class
nn.functional.elu,class
nn.functional.max_pool2d,class
nn.functional.lp_pool1d,class
nn.functional.pairwise_distance,class
nn.functional.rrelu,class
nn.functional.conv1d,class
nn.functional.cosine_similarity,class
nn.functional.unfold,class
nn.functional.one_hot,class
nn.functional.huber_loss,class
nn.functional.triplet_margin_loss,class
nn.functional.interpolate,class
nn.functional.embedding,class
nn.functional.max_pool1d,class
nn.functional.relu,class
nn.functional.binary_cross_entropy,class
nn.functional.avg_pool3d,class
nn.functional.instance_norm,class
nn.functional.l1_loss,class
nn.functional.mish,class
nn.functional.multilabel_soft_margin_loss,class
nn.functional.affine_grid,class
nn.functional.log_softmax,class
nn.functional.softshrink,class
nn.functional.upsample_nearest,class
nn.functional.logsigmoid,class
nn.functional.poisson_nll_loss,class
nn.parallel.data_parallel,class
smm,function
sspaddmm,function
cuda.set_device,class
autograd.gradcheck,class
autograd.functional.jacobian,class
autograd.forward_ad.unpack_dual,class
autograd.functional.hvp,class
autograd.functional.vjp,class
autograd.functional.jvp,class
autograd.inference_mode,class
autograd.backward,class
autograd.set_grad_enabled,class
autograd.gradgradcheck,class
autograd.profiler.load_nvprof,class
autograd.grad,class
autograd.functional.vhp,class
autograd.forward_ad.make_dual,class
autograd.functional.hessian,class
cuda.set_per_process_memory_fraction,class
cuda.nvtx.range_push,class
cuda.device_of,class
cuda.device,class
cuda.get_device_properties,class
cuda.manual_seed,class
cuda.max_memory_allocated,class
cuda.graph_pool_handle,class
cuda.get_gencode_flags,class
cuda.reset_max_memory_allocated,class
cuda.make_graphed_callables,class
cuda.list_gpu_processes,class
cuda.memory_reserved,class
cuda.can_device_access_peer,class
cuda.set_stream,class
cuda.ExternalStream,class
cuda.max_memory_reserved,class
cuda.caching_allocator_alloc,class
cuda.StreamContext,class
cuda.memory_usage,class
cuda.caching_allocator_delete,class
cuda.nvtx.mark,class
cuda.synchronize,class
cuda.set_sync_debug_mode,class
cuda.get_device_capability,class
cuda.utilization,class
cuda.set_rng_state,class
cuda.manual_seed_all,class
cuda.graph,class
cuda.Stream,class
cuda.memory_allocated,class
cuda.Event,class
cuda.set_rng_state_all,class
cuda.jiterator._create_jit_fn,class
linalg.eigh,class
linalg.inv_ex,class
linalg.qr,class
linalg.svd,class
linalg.cholesky,class
linalg.cholesky_ex,class
optim.Optimizer.state_dict,class
optim.Optimizer.step,class
fft.rfft2,class
fft.rfft,class
fft.hfftn,class
fft.fftn,class
fft.fft,class
fft.ifft,class
fft.fftshift,class
fft.rfftfreq,class
fft.ihfftn,class
fft.fftfreq,class
fft.irfft2,class
fft.hfft,class
fft.rfftn,class
fft.ihfft2,class
fft.irfftn,class
fft.ifft2,class
fft.ihfft,class
fft.ifftshift,class
fft.fft2,class
fft.hfft2,class
fft.ifftn,class
fft.irfft,class
jit.Attribute,class
jit.script,class
jit.isinstance,class
jit.trace,class
jit.script_if_tracing,class
jit.set_fusion_strategy,class
jit.wait,class
jit.enable_onednn_fusion,class
jit.fork,class
jit.unused,class
jit.save,class
jit.ignore,class
jit.annotate,class
jit.load,class
jit.optimize_for_inference,class
jit.trace_module,class
jit.freeze,class
linalg.tensorinv,class
linalg.matrix_rank,class
linalg.lu_factor_ex,class
linalg.multi_dot,class
linalg.lu,class
linalg.lstsq,class
linalg.eig,class
linalg.solve,class
linalg.tensorsolve,class
linalg.vector_norm,class
linalg.matrix_norm,class
linalg.ldl_factor,class
linalg.diagonal,class
linalg.lu_factor,class
linalg.ldl_solve,class
linalg.cond,class
linalg.eigvalsh,class
linalg.ldl_factor_ex,class
linalg.eigvals,class
linalg.cross,class
linalg.solve_triangular,class
linalg.vander,class
linalg.norm,class
linalg.matmul,class
linalg.svdvals,class
onnx.SymbolicContext,class
optim.lr_scheduler.ConstantLR,class
optim.Optimizer.load_state_dict,class
optim.lr_scheduler.CosineAnnealingWarmRestarts,class
optim.lr_scheduler.OneCycleLR,class
optim.RMSprop,class
optim.lr_scheduler.StepLR,class
optim.lr_scheduler.SequentialLR,class
optim.lr_scheduler.LinearLR,class
optim.lr_scheduler.ChainedScheduler,class
optim.Optimizer.add_param_group,class
optim.Adam,class
optim.lr_scheduler.ReduceLROnPlateau,class
optim.Rprop,class
optim.Adagrad,class
optim.lr_scheduler.LambdaLR,class
optim.SparseAdam,class
optim.AdamW,class
optim.lr_scheduler.MultiplicativeLR,class
optim.ASGD,class
optim.Adamax,class
optim.NAdam,class
optim.SGD,class
optim.lr_scheduler.ExponentialLR,class
optim.Adadelta,class
optim.lr_scheduler.CosineAnnealingLR,class
optim.RAdam,class
optim.lr_scheduler.CyclicLR,class
optim.Optimizer.zero_grad,class
optim.lr_scheduler.MultiStepLR,class
optim.LBFGS,class
quantization.QuantStub,class
quantization.DeQuantStub,class
quantization.fuse_modules,class
sparse.sum,class
sparse.sampled_addmm,class
sparse_csr_tensor,function
sparse.addmm,class
sparse.mm,class
sparse.softmax,class
hspmm,function
sparse.log_softmax,class
Tensor.scatter_reduce_,class
Tensor.uniform_,class
Tensor.normal_,class
Tensor.random_,class
Tensor.index_reduce_,class
Tensor.exponential_,class
Tensor.index_add_,class
Tensor.bernoulli_,class
Tensor.scatter_add_,class
Tensor.geometric_,class
Tensor.log_normal_,class
Tensor.scatter_,class
Tensor.cauchy_,class
Tensor.reshape_as,class
Tensor.logical_xor_,class
Tensor.ne_,class
Tensor.cos_,class
Tensor.floor_divide_,class
Tensor.clip_,class
Tensor.masked_fill,class
Tensor.index_fill,class
Tensor.put_,class
Tensor.ceil_,class
Tensor.mul_,class
Tensor.is_pinned,class
Tensor.true_divide_,class
Tensor.index_copy_,class
Tensor.addcmul_,class
Tensor.unsqueeze_,class
Tensor.backward,class
Tensor.int,class
Tensor.square_,class
Tensor.tril_,class
Tensor.asin_,class
Tensor.arctan2_,class
Tensor.gt_,class
Tensor.cumprod_,class
Tensor.masked_scatter_,class
Tensor.floor_,class
Tensor.new_ones,class
Tensor.less_,class
Tensor.addmv_,class
Tensor.requires_grad_,class
Tensor.half,class
Tensor.type_as,class
Tensor.igammac_,class
Tensor.index_fill_,class
Tensor.cosh_,class
Tensor.squeeze_,class
Tensor.addbmm_,class
Tensor.expand_as,class
Tensor.renorm_,class
Tensor.detach,class
Tensor.fix_,class
Tensor.cpu,class
Tensor.index_put,class
Tensor.arccos_,class
Tensor.item,class
Tensor.greater_,class
Tensor.transpose_,class
Tensor.ge_,class
Tensor.new_zeros,class
Tensor.conj_physical_,class
Tensor.erfc_,class
Tensor.acosh_,class
Tensor.tolist,class
Tensor.le_,class
Tensor.digamma_,class
Tensor.is_set_to,class
Tensor.atan2_,class
Tensor.arctanh_,class
Tensor.neg_,class
Tensor.bitwise_right_shift_,class
Tensor.view,class
Tensor.resize_,class
Tensor.q_scale,class
Tensor.sin_,class
Tensor.register_hook,class
Tensor.retain_grad,class
Tensor.divide_,class
Tensor.sub_,class
Tensor.is_signed,class
Tensor.chalf,class
Tensor.cuda,class
Tensor.sparse_mask,class
Tensor.stride,class
Tensor.byte,class
Tensor.new_full,class
Tensor.resize_as_,class
Tensor.arctan_,class
Tensor.nextafter_,class
Tensor.bitwise_left_shift_,class
Tensor.bool,class
Tensor.add_,class
Tensor.nelement,class
Tensor.sgn_,class
Tensor.frac_,class
Tensor.set_,class
Tensor.long,class
Tensor.contiguous,class
Tensor.repeat,class
Tensor.logical_or_,class
Tensor.masked_scatter,class
Tensor.double,class
Tensor.logical_and_,class
Tensor.narrow_copy,class
Tensor.element_size,class
Tensor.tan_,class
Tensor.to,class
Tensor.exp_,class
Tensor.multiply_,class
Tensor.fmod_,class
Tensor.pow_,class
Tensor.int_repr,class
Tensor.sparse_dim,class
Tensor.is_inference,class
Tensor.baddbmm_,class
Tensor.sinh_,class
Tensor.data_ptr,class
Tensor.remainder_,class
Tensor.log1p_,class
Tensor.masked_fill_,class
Tensor.qscheme,class
Tensor.div_,class
Tensor.absolute_,class
Tensor.dense_dim,class
Tensor.short,class
Tensor.new_empty,class
Tensor.apply_,class
Tensor.erf_,class
Tensor.arccosh_,class
Tensor.lcm_,class
Tensor.is_contiguous,class
Tensor.cfloat,class
Tensor.ndimension,class
Tensor.hypot_,class
Tensor.size,class
Tensor.trunc_,class
Tensor.eq_,class
Tensor.expm1_,class
Tensor.bitwise_not_,class
Tensor.cumsum_,class
Tensor.atan_,class
Tensor.t_,class
Tensor.type,class
Tensor.reciprocal_,class
Tensor.q_per_channel_axis,class
Tensor.addcdiv_,class
Tensor.dim,class
Tensor.abs_,class
Tensor.storage_offset,class
Tensor.ldexp_,class
Tensor.less_equal_,class
Tensor.pin_memory,class
Tensor.logit_,class
Tensor.values,class
Tensor.fill_diagonal_,class
Tensor.addmm_,class
Tensor.float_power_,class
Tensor.share_memory_,class
Tensor.numpy,class
Tensor.erfinv_,class
Tensor.sqrt_,class
Tensor.xlogy_,class
Tensor.lerp_,class
Tensor.copysign_,class
Tensor.log_,class
Tensor.record_stream,class
Tensor.is_shared,class
Tensor.acos_,class
Tensor.q_per_channel_scales,class
Tensor.indices,class
Tensor.nan_to_num_,class
Tensor.new_tensor,class
Tensor.greater_equal_,class
Tensor.to_mkldnn,class
Tensor.arcsin_,class
Tensor.expand,class
Tensor.index_put_,class
Tensor.bitwise_xor_,class
Tensor.sum_to_size,class
Tensor.asinh_,class
Tensor.unfold,class
Tensor.storage_type,class
Tensor.not_equal_,class
Tensor.sign_,class
Tensor.zero_,class
Tensor.bitwise_or_,class
Tensor.rsqrt_,class
Tensor.get_device,class
Tensor.copy_,class
Tensor.log10_,class
Tensor.atanh_,class
Tensor.clamp_,class
Tensor.round_,class
Tensor.lgamma_,class
Tensor.lt_,class
Tensor.igamma_,class
Tensor.logical_not_,class
Tensor.bitwise_and_,class
Tensor.subtract_,class
Tensor.sigmoid_,class
Tensor.q_zero_point,class
Tensor.triu_,class
Tensor.char,class
Tensor.storage,class
Tensor.float,class
Tensor.arcsinh_,class
Tensor.i0_,class
Tensor.addr_,class
Tensor.to_sparse,class
Tensor.map_,class
Tensor.cdouble,class
Tensor.fill_,class
Tensor.q_per_channel_zero_points,class
Tensor.hardshrink,class
Tensor.bfloat16,class
Tensor.sinc_,class
Tensor.view_as,class
Tensor.detach_,class
Tensor.polygamma_,class
Tensor.tanh_,class
Tensor.gcd_,class
Tensor.mvlgamma_,class
Tensor.negative_,class
Tensor.log2_,class
Tensor.sparse_resize_and_clear_,class
Tensor.sparse_resize_,class
Tensor.is_coalesced,class
Tensor.to_dense,class
Tensor.coalesce,class
