API,Description,Example,,
"
mxnet.ndarray.Convolution_v1(data=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['This operator is DEPRECATED. Apply convolution to input then add a bias.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Correlation(data1=None, data2=None, kernel_size=_Null, max_displacement=_Null, stride1=_Null, stride2=_Null, pad_size=_Null, is_multiply=_Null, out=None, name=None, **kwargs)Â¶","['Applies correlation to inputs.', '\n', 'The correlation layer performs multiplicative patch comparisons between two feature maps.', '\n', 'Given two multi-channel feature maps ', '\\(f_{1}, f_{2}\\)', ', with ', '\\(w\\)', ', ', '\\(h\\)', ', and ', '\\(c\\)', ' being their width, height, and number of channels,\nthe correlation layer lets the network compare each patch from ', '\\(f_{1}\\)', ' with each patch from ', '\\(f_{2}\\)', '.', '\n', 'For now we consider only a single comparison of two patches. The â\x80\x98correlationâ\x80\x99 of two patches centered at ', '\\(x_{1}\\)', ' in the first map and\n', '\\(x_{2}\\)', ' in the second map is then defined as:', '\n', '\n\\[c(x_{1}, x_{2}) = \\sum_{o \\in [-k,k] \\times [-k,k]} <f_{1}(x_{1} + o), f_{2}(x_{2} + o)>\\]', '\n', 'for a square patch of size ', '\\(K:=2k+1\\)', '.', '\n', 'Note that the equation above is identical to one step of a convolution in neural networks, but instead of convolving data with a filter, it convolves data with other\ndata. For this reason, it has no training weights.', '\n', 'Computing ', '\\(c(x_{1}, x_{2})\\)', ' involves ', '\\(c * K^{2}\\)', ' multiplications. Comparing all patch combinations involves ', '\\(w^{2}*h^{2}\\)', ' such computations.', '\n', 'Given a maximum displacement ', '\\(d\\)', ', for each location ', '\\(x_{1}\\)', ' it computes correlations ', '\\(c(x_{1}, x_{2})\\)', ' only in a neighborhood of size ', '\\(D:=2d+1\\)', ',\nby limiting the range of ', '\\(x_{2}\\)', '. We use strides ', '\\(s_{1}, s_{2}\\)', ', to quantize ', '\\(x_{1}\\)', ' globally and to quantize ', '\\(x_{2}\\)', ' within the neighborhood\ncentered around ', '\\(x_{1}\\)', '.', '\n', 'The final output is defined by the following expression:', '\n', '\n\\[out[n, q, i, j] = c(x_{i, j}, x_{q})\\]', '\n', 'where ', '\\(i\\)', ' and ', '\\(j\\)', ' enumerate spatial locations in ', '\\(f_{1}\\)', ', and ', '\\(q\\)', ' denotes the ', '\\(q^{th}\\)', ' neighborhood of ', '\\(x_{i,j}\\)', '.', '\n', 'Defined in src/operator/correlation.cc:L197', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Crop(*data, **kwargs)Â¶","['\n', 'Note', '\n', 'Crop', '\n', '\n', 'Crop the 2nd and 3rd dim of input data, with the corresponding size of h_w or\nwith width and height of the second input symbol, i.e., with one input, we need h_w to\nspecify the crop height and width, otherwise the second input symbolâ\x80\x99s size will be used', '\n', 'Defined in src/operator/crop.cc:L49', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Custom(*data, **kwargs)Â¶","['Apply a custom operator implemented in a frontend language (like Python).', '\n', 'Custom operators should override required methods like ', 'forward', ' and ', 'backward', '.\nThe custom operator must be registered before it can be used.\nPlease check the tutorial here: ', 'https://mxnet.incubator.apache.org/api/faq/new_op', '\n', 'Defined in src/operator/custom/custom.cc:L546', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', 'Example', '\n', 'Applies a custom operator named ', 'my_custom_operator', ' to ', 'input', '.', '\n', None, '\n', '\n', '\n']",">>> output=mx.symbol.Custom(op_type='my_custom_operator',data=input)
",,
"
mxnet.ndarray.Deconvolution(data=None, weight=None, bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, adj=_Null, target_shape=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Computes 1D or 2D transposed convolution (aka fractionally strided convolution) of the input tensor. This operation can be seen as the gradient of Convolution operation with respect to its input. Convolution usually reduces the size of the input. Transposed convolution works the other way, going from a smaller input to a larger output while preserving the connectivity pattern.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Dropout(data=None, p=_Null, mode=_Null, axes=_Null, cudnn_off=_Null, out=None, name=None, **kwargs)Â¶","['Applies dropout operation to input array.', '\n', '\n', 'During training, each element of the input is set to zero with probability p.\nThe whole array is rescaled by ', '\n', 'During testing, this operator does not change the input if mode is â\x80\x98trainingâ\x80\x99.\nIf mode is â\x80\x98alwaysâ\x80\x99, the same computaion as during training will be applied.', '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/nn/dropout.cc:L95', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.ElementWiseSum(*args, **kwargs)Â¶","['Adds all input arguments element-wise.', '\n', '\n\\[add\\_n(a_1, a_2, ..., a_n) = a_1 + a_2 + ... + a_n\\]', '\n', 'add_n', ' is potentially more efficient than calling ', 'add', ' by ', 'n', ' times.', '\n', 'The storage type of ', 'add_n', ' output depends on storage types of inputs', '\n', '\n', 'add_n(row_sparse, row_sparse, ..) = row_sparse', '\n', 'add_n(default, csr, default) = default', '\n', 'add_n(any input combinations longer than 4 (>4) with at least one default type) = default', '\n', 'otherwise, ', '\n', '\n', 'Defined in src/operator/tensor/elemwise_sum.cc:L155', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Embedding(data=None, weight=None, input_dim=_Null, output_dim=_Null, dtype=_Null, sparse_grad=_Null, out=None, name=None, **kwargs)Â¶","['Maps integer indices to vector representations (embeddings).', '\n', 'This operator maps words to real-valued vectors in a high-dimensional space,\ncalled word embeddings. These embeddings can capture semantic and syntactic properties of the words.\nFor example, it has been noted that in the learned embedding spaces, similar words tend\nto be close to each other and dissimilar words far apart.', '\n', 'For an input array of shape (d1, â\x80¦, dK),\nthe shape of an output array is (d1, â\x80¦, dK, output_dim).\nAll the input values should be integers in the range [0, input_dim).', '\n', 'If the input_dim is ip0 and output_dim is op0, then shape of the embedding weight matrix must be\n(ip0, op0).', '\n', 'When â\x80\x9csparse_gradâ\x80\x9d is False, if any index mentioned is too large, it is replaced by the index that\naddresses the last vector in an embedding matrix.\nWhen â\x80\x9csparse_gradâ\x80\x9d is True, an error will be raised if invalid indices are found.', '\n', 'Examples:', '\n', None, '\n', '\n', 'The storage type of weight can be either row_sparse or default.', '\n', '\n', 'Note', '\n', 'If â\x80\x9csparse_gradâ\x80\x9d is set to True, the storage type of gradient w.r.t weights will be\nâ\x80\x9crow_sparseâ\x80\x9d. Only a subset of optimizers support sparse gradients, including SGD, AdaGrad\nand Adam. Note that by default lazy updates is turned on, which may perform differently\nfrom standard updates. For more details, please check the Optimization API at:\n', '\n', '\n', 'Defined in src/operator/tensor/indexing_op.cc:L597', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.Flatten(data=None, out=None, name=None, **kwargs)Â¶","['Flattens the input array into a 2-D array by collapsing the higher dimensions.\n.. note:: ', 'Flatten', ' is deprecated. Use ', 'flatten', ' instead.\nFor an input array with shape ', '(d1,', ', ', 'flatten', ' operation reshapes\nthe input array into an output array of shape ', '(d1,', '.\nNote that the behavior of this function is different from numpy.ndarray.flatten,\nwhich behaves similar to mxnet.ndarray.reshape((-1,)).\nExample:', '\n', None, '\n', '\n', 'Defined in src/operator/tensor/matrix_op.cc:L249', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.FullyConnected(data=None, weight=None, bias=None, num_hidden=_Null, no_bias=_Null, flatten=_Null, out=None, name=None, **kwargs)Â¶","['Applies a linear transformation: ', '\\(Y = XW^T + b\\)', '.', '\n', 'If ', 'flatten', ' is set to be true, then the shapes are:', '\n', '\n', 'data', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'If ', 'flatten', ' is set to be false, then the shapes are:', '\n', '\n', 'data', '\n', 'weight', '\n', 'bias', '\n', 'out', '\n', '\n', 'The learnable parameters include both ', 'weight', ' and ', 'bias', '.', '\n', 'If ', 'no_bias', ' is set to be true, then the ', 'bias', ' term is ignored.', '\n', '\n', 'Note', '\n', 'The sparse support for FullyConnected is limited to forward evaluation with ', '\n', 'To compute linear transformation with â\x80\x98csrâ\x80\x99 sparse data, sparse.dot is recommended instead\nof sparse.FullyConnected.', '\n', '\n', 'Defined in src/operator/nn/fully_connected.cc:L286', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.GridGenerator(data=None, transform_type=_Null, target_shape=_Null, out=None, name=None, **kwargs)Â¶","['Generates 2D sampling grid for bilinear sampling.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.GroupNorm(data=None, gamma=None, beta=None, num_groups=_Null, eps=_Null, output_mean_var=_Null, out=None, name=None, **kwargs)Â¶","['Group normalization.', '\n', 'The input channels are separated into ', 'num_groups', ' groups, each containing ', 'num_channels', ' channels.\nThe mean and standard-deviation are calculated separately over the each group.', '\n', '\n\\[data = data.reshape((N, num_groups, C // num_groups, ...))\nout = \\frac{data - mean(data, axis)}{\\sqrt{var(data, axis) + \\epsilon}} * gamma + beta\\]', '\n', 'Both ', 'gamma', ' and ', 'beta', ' are learnable parameters.', '\n', 'Defined in src/operator/nn/group_norm.cc:L76', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.IdentityAttachKLSparseReg(data=None, sparseness_target=_Null, penalty=_Null, momentum=_Null, out=None, name=None, **kwargs)Â¶","['Apply a sparse regularization to the output a sigmoid activation function.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.InstanceNorm(data=None, gamma=None, beta=None, eps=_Null, out=None, name=None, **kwargs)Â¶","['Applies instance normalization to the n-dimensional input array.', '\n', 'This operator takes an n-dimensional input array where (n>2) and normalizes\nthe input using the following formula:', '\n', '\n\\[out = \\frac{x - mean[data]}{ \\sqrt{Var[data]} + \\epsilon} * gamma + beta\\]', '\n', 'This layer is similar to batch normalization layer (', 'BatchNorm', ')\nwith two differences: first, the normalization is\ncarried out per example (instance), not over a batch. Second, the\nsame normalization is applied both at test and train time. This\noperation is also known as ', 'contrast normalization', '.', '\n', 'If the input data is of shape [batch, channel, spacial_dim1, spacial_dim2, â\x80¦],\n', 'gamma', ' and ', 'beta', ' parameters must be vectors of shape [channel].', '\n', 'This implementation is based on this paper ', '1', '\n', '\n', '1', '\n', 'Instance Normalization: The Missing Ingredient for Fast Stylization,\nD. Ulyanov, A. Vedaldi, V. Lempitsky, 2016 (arXiv:1607.08022v2).', '\n', '\n', 'Examples:', '\n', None, '\n', '\n', 'Defined in src/operator/instance_norm.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.L2Normalization(data=None, eps=_Null, mode=_Null, out=None, name=None, **kwargs)Â¶","['Normalize the input array using the L2 norm.', '\n', 'For 1-D NDArray, it computes:', '\n', None, '\n', '\n', 'For N-D NDArray, if the input array has shape (N, N, â\x80¦, N),', '\n', 'with ', 'mode', ' = ', 'instance', ', it normalizes each instance in the multidimensional\narray by its L2 norm.:', '\n', None, '\n', '\n', 'with ', 'mode', ' = ', 'channel', ', it normalizes each channel in the array by its L2 norm.:', '\n', None, '\n', '\n', 'with ', 'mode', ' = ', 'spatial', ', it normalizes the cross channel norm for each position\nin the array by its L2 norm.:', '\n', None, '\n', '\n', 'Example:', '\n', None, '\n', '\n', 'Defined in src/operator/l2_normalization.cc:L195', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
"
mxnet.ndarray.LRN(data=None, alpha=_Null, beta=_Null, knorm=_Null, nsize=_Null, out=None, name=None, **kwargs)Â¶","['Applies local response normalization to the input.', '\n', 'The local response normalization layer performs â\x80\x9clateral inhibitionâ\x80\x9d by normalizing\nover local input regions.', '\n', 'If ', '\\(a_{x,y}^{i}\\)', ' is the activity of a neuron computed by applying kernel ', '\\(i\\)', ' at position\n', '\\((x, y)\\)', ' and then applying the ReLU nonlinearity, the response-normalized\nactivity ', '\\(b_{x,y}^{i}\\)', ' is given by the expression:', '\n', '\n\\[b_{x,y}^{i} = \\frac{a_{x,y}^{i}}{\\Bigg({k + \\frac{\\alpha}{n} \\sum_{j=max(0, i-\\frac{n}{2})}^{min(N-1, i+\\frac{n}{2})} (a_{x,y}^{j})^{2}}\\Bigg)^{\\beta}}\\]', '\n', 'where the sum runs over ', '\\(n\\)', ' â\x80\x9cadjacentâ\x80\x9d kernel maps at the same spatial position, and ', '\\(N\\)', ' is the total\nnumber of kernels in the layer.', '\n', 'Defined in src/operator/nn/lrn.cc:L157', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']",,,
