API,Description,Example1,Example2,,
"
 torch. numel ( input )   → ¶","Returns the total number of elements in the  input  tensor. 
 Parameters 
 input 
 Example: 
",">>> a=torch.randn(1,2,3,4,5)
>>> torch.numel(a)
120
>>> a=torch.zeros(4,4)
>>> torch.numel(a)
16
",,,
"
 torch. set_printoptions ( precision ,  threshold ,  edgeitems ,  linewidth ,  profile ,  sci_mode ) [source] ¶","Set options for printing. Items shamelessly taken from NumPy 
 Parameters 
 
 
 Example: 
",">>> # Limit the precision of elements
>>> torch.set_printoptions(precision=2)
>>> torch.tensor([1.12345])
tensor([1.12])
>>> # Limit the number of elements shown
>>> torch.set_printoptions(threshold=5)
>>> torch.arange(10)
tensor([0, 1, 2, ..., 7, 8, 9])
>>> # Restore defaults
>>> torch.set_printoptions(profile='default')
>>> torch.tensor([1.12345])
tensor([1.1235])
>>> torch.arange(10)
tensor([0, 1, 2, 3, 4, 5, 6, 7, 8, 9])
",,,
"
 torch. set_flush_denormal ( mode )   → ¶","Disables denormal floating numbers on CPU. Returns  True  if your system supports flushing denormal numbers and it
successfully configures flush denormal mode.   set_flush_denormal() 
is only supported on x86 architectures supporting SSE3. 
 Parameters 
 mode 
 Example: 
",">>> torch.set_flush_denormal(True)
True
>>> torch.tensor([1e-323],dtype=torch.float64)
tensor([ 0.], dtype=torch.float64)
>>> torch.set_flush_denormal(False)
True
>>> torch.tensor([1e-323],dtype=torch.float64)
tensor(9.88131e-324 *
       [ 1.0000], dtype=torch.float64)
",,,
"
 torch. rand ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False ,  pin_memory=False )   → ¶","Returns a tensor filled with random numbers from a uniform distribution
on the interval  [ The shape of the tensor is defined by the variable argument  size . 
 Parameters 
 size 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.rand(4)
tensor([ 0.5204,  0.2503,  0.3525,  0.5673])
>>> torch.rand(2,3)
tensor([[ 0.8237,  0.5781,  0.6879],
        [ 0.3816,  0.7249,  0.0998]])
",,,
"
 torch. rand_like ( input ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  memory_format )   → ¶","Returns a tensor with the same size as  input  that is filled with
random numbers from a uniform distribution on the interval  [ .
 torch.rand_like(input)  is equivalent to
 torch.rand(input.size(), . 
 Parameters 
 input 
 Keyword Arguments 
 
 
",,,,
"
 torch. randn ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False ,  pin_memory=False )   → ¶","Returns a tensor filled with random numbers from a normal distribution
with mean  0  and variance  1  (also called the standard normal
distribution). 
 out The shape of the tensor is defined by the variable argument  size . 
 Parameters 
 size 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.randn(4)
tensor([-2.1436,  0.9966,  2.3426, -0.6366])
>>> torch.randn(2,3)
tensor([[ 1.5954,  2.8929, -1.0923],
        [ 1.1719, -0.4709, -0.1996]])
",,,
"
 torch. randn_like ( input ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  memory_format )   → ¶","Returns a tensor with the same size as  input  that is filled with
random numbers from a normal distribution with mean 0 and variance 1.
 torch.randn_like(input)  is equivalent to
 torch.randn(input.size(), . 
 Parameters 
 input 
 Keyword Arguments 
 
 
",,,,
"
 torch. randint ( low=0 ,  high ,  size ,  \* ,  generator=None ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","Returns a tensor filled with random integers generated uniformly
between  low  (inclusive) and  high  (exclusive). The shape of the tensor is defined by the variable argument  size . 
 Note 
 With the global dtype default ( 
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.randint(3,5,(3,))
tensor([4, 3, 4])>>> torch.randint(10,(2,2))
tensor([[0, 2],
        [5, 5]])>>> torch.randint(3,10,(2,2))
tensor([[4, 5],
        [6, 7]])
",,,
"
 torch. randint_like ( input ,  low=0 ,  high ,  \* ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False ,  memory_format=torch.preserve_format )   → ¶","Returns a tensor with the same shape as Tensor  input  filled with
random integers generated uniformly between  low  (inclusive) and
 high  (exclusive). 
 Parameters 
 
 
 Keyword Arguments 
 
 
",,,,
"
 torch. randperm ( n ,  * ,  generator ,  out ,  dtype ,  layout ,  device ,  requires_grad ,  pin_memory )   → ¶","Returns a random permutation of integers from  0  to  n . 
 Parameters 
 n 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.randperm(4)
tensor([2, 1, 0, 3])
",,,
"
 torch. empty ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False ,  pin_memory=False ,  memory_format=torch.contiguous_format )   → ¶","Returns a tensor filled with uninitialized data. The shape of the tensor is
defined by the variable argument  size . 
 Parameters 
 size 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.empty((2,3),dtype=torch.int64)
tensor([[ 9.4064e+13,  2.8000e+01,  9.3493e+13],
        [ 7.5751e+18,  7.1428e+18,  7.5955e+18]])
",,,
"
 torch. tensor ( data ,  * ,  dtype ,  device ,  requires_grad ,  pin_memory )   → ¶","Constructs a tensor with no autograd history (also known as a “leaf tensor”, see  Autograd mechanics ) by copying  data . 
 Warning 
 When working with tensors prefer using  
 
 See also 
 torch.as_tensor() 
 
 Parameters 
 data 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.tensor([[0.1,1.2],[2.2,3.1],[4.9,5.2]])
tensor([[ 0.1000,  1.2000],
        [ 2.2000,  3.1000],
        [ 4.9000,  5.2000]])>>> torch.tensor([0,1])# Type inference on data
tensor([ 0,  1])>>> torch.tensor([[0.11111,0.222222,0.3333333]],
... dtype=torch.float64,
... device=torch.device('cuda:0'))# creates a double tensor on a CUDA device
tensor([[ 0.1111,  0.2222,  0.3333]], dtype=torch.float64, device='cuda:0')>>> torch.tensor(3.14159)# Create a zero-dimensional (scalar) tensor
tensor(3.1416)>>> torch.tensor([])# Create an empty tensor (of size (0,))
tensor([])
",,,
"
 torch. sparse_coo_tensor ( indices ,  values ,  size ,  * ,  dtype ,  device ,  requires_grad )   → ¶","Constructs a  sparse tensor in COO(rdinate) format  with specified values at the given
 indices . 
 Note 
 This function returns an  
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> i=torch.tensor([[0,1,1],
... [2,0,2]])
>>> v=torch.tensor([3,4,5],dtype=torch.float32)
>>> torch.sparse_coo_tensor(i,v,[2,4])
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       size=(2, 4), nnz=3, layout=torch.sparse_coo)>>> torch.sparse_coo_tensor(i,v)# Shape inference
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       size=(2, 3), nnz=3, layout=torch.sparse_coo)>>> torch.sparse_coo_tensor(i,v,[2,4],
... dtype=torch.float64,
... device=torch.device('cuda:0'))
tensor(indices=tensor([[0, 1, 1],
                       [2, 0, 2]]),
       values=tensor([3., 4., 5.]),
       device='cuda:0', size=(2, 4), nnz=3, dtype=torch.float64,
       layout=torch.sparse_coo)# Create an empty sparse tensor with the following invariants:
#   1. sparse_dim + dense_dim = len(SparseTensor.shape)
#   2. SparseTensor._indices().shape = (sparse_dim, nnz)
#   3. SparseTensor._values().shape = (nnz, SparseTensor.shape[sparse_dim:])
#
# For instance, to create an empty sparse tensor with nnz = 0, dense_dim = 0 and
# sparse_dim = 1 (hence indices is a 2D tensor of shape = (1, 0))
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),[],[1])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0,)),
       size=(1,), nnz=0, layout=torch.sparse_coo)# and to create an empty sparse tensor with nnz = 0, dense_dim = 1 and
# sparse_dim = 1
>>> S=torch.sparse_coo_tensor(torch.empty([1,0]),torch.empty([0,2]),[1,2])
tensor(indices=tensor([], size=(1, 0)),
       values=tensor([], size=(0, 2)),
       size=(1, 2), nnz=0, layout=torch.sparse_coo)
",,,
"
 torch. asarray ( obj ,  * ,  dtype ,  device ,  copy ,  requires_grad )   → ¶","Converts  obj  to a tensor. obj  can be one of: 
 a tensor 
 a NumPy array 
 a DLPack capsule 
 an object that implements Python’s buffer protocol 
 a scalar 
 a sequence of scalars 
 When  obj  is a tensor, NumPy array, or DLPack capsule the returned tensor will,
by default, not require a gradient, have the same datatype as  obj , be on the
same device, and share memory with it. These properties can be controlled with the
 dtype ,  device ,  copy , and  requires_grad  keyword arguments.
If the returned tensor is of a different datatype, on a different device, or a copy is
requested then it will not share its memory with  obj . If  requires_grad 
is  True  then the returned tensor will require a gradient, and if  obj  is
also a tensor with an autograd history then the returned tensor will have the same history. When  obj  is not a tensor, NumPy Array, or DLPack capsule but implements Python’s
buffer protocol then the buffer is interpreted as an array of bytes grouped according to
the size of the datatype passed to the  dtype  keyword argument. (If no datatype is
passed then the default floating point datatype is used, instead.) The returned tensor
will have the specified datatype (or default floating point datatype if none is specified)
and, by default, be on the CPU device and share memory with the buffer. When  obj  is none of the above but a scalar or sequence of scalars then the
returned tensor will, by default, infer its datatype from the scalar values, be on the
CPU device, and not share its memory. 
 See also 
 torch.tensor() 
 
 Parameters 
 obj 
 Keyword Arguments 
 
 
 Example: 
",">>> a=torch.tensor([1,2,3])
>>> # Shares memory with tensor 'a'
>>> b=torch.asarray(a)
>>> a.data_ptr()==b.data_ptr()
True
>>> # Forces memory copy
>>> c=torch.asarray(a,copy=True)
>>> a.data_ptr()==c.data_ptr()
False>>> a=torch.tensor([1,2,3],requires_grad=True).float()
>>> b=a+2
>>> b
tensor([1., 2., 3.], grad_fn=<AddBackward0>)
>>> # Shares memory with tensor 'b', with no grad
>>> c=torch.asarray(b)
>>> c
tensor([1., 2., 3.])
>>> # Shares memory with tensor 'b', retaining autograd history
>>> d=torch.asarray(b,requires_grad=True)
>>> d
tensor([1., 2., 3.], grad_fn=<AddBackward0>)>>> array=numpy.array([1,2,3])
>>> # Shares memory with array 'array'
>>> t1=torch.asarray(array)
>>> array.__array_interface__['data'][0]==t1.data_ptr()
True
>>> # Copies memory due to dtype mismatch
>>> t2=torch.asarray(array,dtype=torch.float32)
>>> array.__array_interface__['data'][0]==t1.data_ptr()
False
",,,
"
 torch. as_tensor ( data ,  dtype ,  device )   → ¶","Converts data into a tensor, sharing data and preserving autograd
history if possible. If data is already a tensor with the requested dtype and device
then data itself is returned, but if data is a
tensor with a different dtype or device then it’s copied as if using
 data.to(dtype=dtype, device=device) . If data is a NumPy array (an ndarray) with the same dtype and device then a
tensor is constructed using  torch.from_numpy() . 
 See also 
 torch.tensor() 
 
 Parameters 
 
 
 Example: 
",">>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])>>> a=numpy.array([1,2,3])
>>> t=torch.as_tensor(a,device=torch.device('cuda'))
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([1,  2,  3])
",,,
"
 torch. as_strided ( input ,  size ,  stride ,  storage_offset )   → ¶","Create a view of an existing  torch.Tensor   input  with specified
 size ,  stride  and  storage_offset . 
 Warning 
 Prefer using other view functions, like  
 
 Parameters 
 
 
 Example: 
",">>> x=torch.randn(3,3)
>>> x
tensor([[ 0.9039,  0.6291,  1.0795],
        [ 0.1586,  2.1939, -0.4900],
        [-0.1909, -0.7503,  1.9355]])
>>> t=torch.as_strided(x,(2,2),(1,2))
>>> t
tensor([[0.9039, 1.0795],
        [0.6291, 0.1586]])
>>> t=torch.as_strided(x,(2,2),(1,2),1)
tensor([[0.6291, 0.1586],
        [1.0795, 2.1939]])
",,,
"
 torch. from_numpy ( ndarray )   → ¶","Creates a  Tensor  from a  numpy.ndarray . The returned tensor and  ndarray  share the same memory. Modifications to
the tensor will be reflected in the  ndarray  and vice versa. The returned
tensor is not resizable. It currently accepts  ndarray  with dtypes of  numpy.float64 ,
 numpy.float32 ,  numpy.float16 ,  numpy.complex64 ,  numpy.complex128 ,
 numpy.int64 ,  numpy.int32 ,  numpy.int16 ,  numpy.int8 ,  numpy.uint8 ,
and  numpy.bool . 
 Warning 
 Writing to a tensor created from a read-only NumPy array is not supported and will result in undefined behavior. 
 Example: 
",">>> a=numpy.array([1,2,3])
>>> t=torch.from_numpy(a)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])
",,,
"
 torch. from_dlpack ( ext_tensor )   → [source] ¶","Converts a tensor from an external library into a  torch.Tensor . The returned PyTorch tensor will share the memory with the input tensor
(which may have come from another library). Note that in-place operations
will therefore also affect the data of the input tensor. This may lead to
unexpected issues (e.g., other libraries may have read-only flags or
immutable data structures), so the user should only do this if they know
for sure that this is fine. 
 Parameters 
 ext_tensor 
 Return type 
 Tensor 
 Examples: 
",">>> importtorch.utils.dlpack
>>> t=torch.arange(4)# Convert a tensor directly (supported in PyTorch >= 1.10)
>>> t2=torch.from_dlpack(t)
>>> t2[:2]=-1# show that memory is shared
>>> t2
tensor([-1, -1,  2,  3])
>>> t
tensor([-1, -1,  2,  3])# The old-style DLPack usage, with an intermediate capsule object
>>> capsule=torch.utils.dlpack.to_dlpack(t)
>>> capsule
<capsule object ""dltensor"" at ...>
>>> t3=torch.from_dlpack(capsule)
>>> t3
tensor([-1, -1,  2,  3])
>>> t3[0]=-9# now we're sharing memory between 3 tensors
>>> t3
tensor([-9, -1,  2,  3])
>>> t2
tensor([-9, -1,  2,  3])
>>> t
tensor([-9, -1,  2,  3])
",,,
"
 torch. frombuffer ( buffer ,  * ,  dtype ,  count ,  offset ,  requires_grad )   → ¶","Creates a 1-dimensional  Tensor  from an object that implements
the Python buffer protocol. Skips the first  offset  bytes in the buffer, and interprets the rest of
the raw bytes as a 1-dimensional tensor of type  dtype  with  count 
elements. Note that either of the following must be true: 1.  count  is a positive non-zero number, and the total number of bytes
in the buffer is less than  offset  plus  count  times the size
(in bytes) of  dtype . 2.  count  is negative, and the length (number of bytes) of the buffer
subtracted by the  offset  is a multiple of the size (in bytes) of
 dtype . The returned tensor and buffer share the same memory. Modifications to
the tensor will be reflected in the buffer and vice versa. The returned
tensor is not resizable. 
 Note 
 This function increments the reference count for the object that
owns the shared memory. Therefore, such memory will not be deallocated
before the returned tensor goes out of scope. 
 
 Warning 
 This function’s behavior is undefined when passed an object implementing
the buffer protocol whose data is not on the CPU. Doing so is likely to
cause a segmentation fault. 
 
 Warning 
 This function does not try to infer the  
 
 Parameters 
 buffer 
 Keyword Arguments 
 
 
 Example: 
",">>> importarray
>>> a=array.array('i',[1,2,3])
>>> t=torch.frombuffer(a,dtype=torch.int32)
>>> t
tensor([ 1,  2,  3])
>>> t[0]=-1
>>> a
array([-1,  2,  3])>>> # Interprets the signed char bytes as 32-bit integers.
>>> # Each 4 signed char elements will be interpreted as
>>> # 1 signed 32-bit integer.
>>> importarray
>>> a=array.array('b',[-1,0,0,0])
>>> torch.frombuffer(a,dtype=torch.int32)
tensor([255], dtype=torch.int32)
",,,
"
 torch. zeros ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","Returns a tensor filled with the scalar value  0 , with the shape defined
by the variable argument  size . 
 Parameters 
 size 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.zeros(2,3)
tensor([[ 0.,  0.,  0.],
        [ 0.,  0.,  0.]])>>> torch.zeros(5)
tensor([ 0.,  0.,  0.,  0.,  0.])
",,,
"
 torch. zeros_like ( input ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  memory_format )   → ¶","Returns a tensor filled with the scalar value  0 , with the same size as
 input .  torch.zeros_like(input)  is equivalent to
 torch.zeros(input.size(), . 
 Warning 
 As of 0.4, this function does not support an  
 
 Parameters 
 input 
 Keyword Arguments 
 
 
 Example: 
",">>> input=torch.empty(2,3)
>>> torch.zeros_like(input)
tensor([[ 0.,  0.,  0.],
        [ 0.,  0.,  0.]])
",,,
"
 torch. ones ( *size ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","Returns a tensor filled with the scalar value  1 , with the shape defined
by the variable argument  size . 
 Parameters 
 size 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.ones(2,3)
tensor([[ 1.,  1.,  1.],
        [ 1.,  1.,  1.]])>>> torch.ones(5)
tensor([ 1.,  1.,  1.,  1.,  1.])
",,,
"
 torch. ones_like ( input ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  memory_format )   → ¶","Returns a tensor filled with the scalar value  1 , with the same size as
 input .  torch.ones_like(input)  is equivalent to
 torch.ones(input.size(), . 
 Warning 
 As of 0.4, this function does not support an  
 
 Parameters 
 input 
 Keyword Arguments 
 
 
 Example: 
",">>> input=torch.empty(2,3)
>>> torch.ones_like(input)
tensor([[ 1.,  1.,  1.],
        [ 1.,  1.,  1.]])
",,,
"
 torch. arange ( start=0 ,  end ,  step=1 ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","Returns a 1-D tensor of size  ⌈ 
with values from the interval  [start,  taken with common difference
 step  beginning from  start . Note that non-integer  step  is subject to floating point rounding errors when
comparing against  end ; to avoid inconsistency, we advise adding a small epsilon to  end 
in such cases. 
 out 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.arange(5)
tensor([ 0,  1,  2,  3,  4])
>>> torch.arange(1,4)
tensor([ 1,  2,  3])
>>> torch.arange(1,2.5,0.5)
tensor([ 1.0000,  1.5000,  2.0000])
",,,
"
 torch. range ( start=0 ,  end ,  step=1 ,  * ,  out=None ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False )   → ¶","Returns a 1-D tensor of size  ⌊ 
with values from  start  to  end  with step  step . Step is
the gap between two values in the tensor. 
 out 
 Warning 
 This function is deprecated and will be removed in a future release because its behavior is inconsistent with
Python’s range builtin. Instead, use  
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.range(1,4)
tensor([ 1.,  2.,  3.,  4.])
>>> torch.range(1,4,0.5)
tensor([ 1.0000,  1.5000,  2.0000,  2.5000,  3.0000,  3.5000,  4.0000])
",,,
"
 torch. linspace ( start ,  end ,  steps ,  * ,  out ,  dtype ,  layout ,  device ,  requires_grad )   → ¶","Creates a one-dimensional tensor of size  steps  whose values are evenly
spaced from  start  to  end , inclusive. That is, the value are: 
 ( From PyTorch 1.11 linspace requires the steps argument. Use steps=100 to restore the previous behavior. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.linspace(3,10,steps=5)
tensor([  3.0000,   4.7500,   6.5000,   8.2500,  10.0000])
>>> torch.linspace(-10,10,steps=5)
tensor([-10.,  -5.,   0.,   5.,  10.])
>>> torch.linspace(start=-10,end=10,steps=5)
tensor([-10.,  -5.,   0.,   5.,  10.])
>>> torch.linspace(start=-10,end=10,steps=1)
tensor([-10.])
",,,
"
 torch. logspace ( start ,  end ,  steps ,  base ,  * ,  out ,  dtype ,  layout ,  device ,  requires_grad )   → ¶","Creates a one-dimensional tensor of size  steps  whose values are evenly
spaced from  base  to
 base , inclusive, on a logarithmic scale
with base  base . That is, the values are: 
 ( From PyTorch 1.11 logspace requires the steps argument. Use steps=100 to restore the previous behavior. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.logspace(start=-10,end=10,steps=5)
tensor([ 1.0000e-10,  1.0000e-05,  1.0000e+00,  1.0000e+05,  1.0000e+10])
>>> torch.logspace(start=0.1,end=1.0,steps=5)
tensor([  1.2589,   2.1135,   3.5481,   5.9566,  10.0000])
>>> torch.logspace(start=0.1,end=1.0,steps=1)
tensor([1.2589])
>>> torch.logspace(start=2,end=2,steps=1,base=2)
tensor([4.0])
",,,
"
 torch. eye ( n ,  m ,  * ,  out ,  dtype ,  layout ,  device ,  requires_grad )   → ¶","Returns a 2-D tensor with ones on the diagonal and zeros elsewhere. 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Returns 
 A 2-D tensor with ones on the diagonal and zeros elsewhere 
 Return type 
 Tensor 
 Example: 
",">>> torch.eye(3)
tensor([[ 1.,  0.,  0.],
        [ 0.,  1.,  0.],
        [ 0.,  0.,  1.]])
",,,
"
 torch. empty_like ( input ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  memory_format )   → ¶","Returns an uninitialized tensor with the same size as  input .
 torch.empty_like(input)  is equivalent to
 torch.empty(input.size(), . 
 Parameters 
 input 
 Keyword Arguments 
 
 
 Example: 
",">>> a=torch.empty((2,3),dtype=torch.int32,device='cuda')
>>> torch.empty_like(a)
tensor([[0, 0, 0],
        [0, 0, 0]], device='cuda:0', dtype=torch.int32)
",,,
"
 torch. empty_strided ( size ,  stride ,  * ,  dtype ,  layout ,  device ,  requires_grad ,  pin_memory )   → ¶","Creates a tensor with the specified  size  and  stride  and filled with undefined data. 
 Warning 
 If the constructed tensor is “overlapped” (with multiple indices referring to the same element
in memory) its behavior is undefined. 
 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> a=torch.empty_strided((2,3),(1,2))
>>> a
tensor([[8.9683e-44, 4.4842e-44, 5.1239e+07],
        [0.0000e+00, 0.0000e+00, 3.0705e-41]])
>>> a.stride()
(1, 2)
>>> a.size()
torch.Size([2, 3])
",,,
"
 torch. full ( size ,  fill_value ,  * ,  out ,  dtype ,  layout ,  device ,  requires_grad )   → ¶","Creates a tensor of size  size  filled with  fill_value . The
tensor’s dtype is inferred from  fill_value . 
 Parameters 
 
 
 Keyword Arguments 
 
 
 Example: 
",">>> torch.full((2,3),3.141592)
tensor([[ 3.1416,  3.1416,  3.1416],
        [ 3.1416,  3.1416,  3.1416]])
",,,
"
 torch. full_like ( input ,  fill_value ,  \* ,  dtype=None ,  layout=torch.strided ,  device=None ,  requires_grad=False ,  memory_format=torch.preserve_format )   → ¶","Returns a tensor with the same size as  input  filled with  fill_value .
 torch.full_like(input,  is equivalent to
 torch.full(input.size(), . 
 Parameters 
 
 
 Keyword Arguments 
 
 
",,,,
